Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Барабаш,Демид,Федорович,Чоловіча,1977-09-10,Детектив,селище Кагарлик,"набережна Західний 3-й, буд. 7 кв. 289, Старий Самбір, 34232",036 568 60 16,lukiandanko@example.org
Дуплій,Сергій,Андрійович,Чоловіча,1941-07-04,Круп'є,село Гребінка,"шосе Хлібна гавань, буд. 0 кв. 5, Гадяч, 90949",509 36 15,mykyta47@example.net
Лупій,Леопольд,Сергійович,Чоловіча,1961-07-09,Гінеколог,село Чорноморськ,"набережна Сільська, буд. 548 кв. 521, Кам'янське, 34911",762-01-12,masokhaveniiamyn@example.com
Венгринович,Теодор,Євгенович,Чоловіча,1966-11-30,Складальник,село Хмельницький,"парк Соляний 5-й, буд. 8, Старокостянтинів, 22938",+380 85 153-62-42,marianababii@example.net
Полтавець,Леон,Володимирович,Чоловіча,1972-01-23,Гірник,місто Карлівка,"узвіз Троїцького Миколи, буд. 74 кв. 340, Комарно, 84596",086 669 92 74,ssemenchenko@example.org
Верховинець,Пріска,Олегівна,Жіноча,1956-09-12,Кушнір,хутір Вараш,"провулок Госпітальний, буд. 444, Зміїв, 50236",+380 (15) 925-80-83,boleslaviashchenko@example.com
Базавлученко,Богдан,Олександрович,Чоловіча,1968-12-21,Антрополог,хутір Ананьїв,"вулиця Амурський 2-й, буд. 82, Сватове, 76937",988-10-66,panas09@example.com
Артимишин,Марко,Олегович,Чоловіча,1998-06-18,Маркетолог,село Ялта,"шосе Бехтерєва, буд. 074 кв. 934, Таврійськ, 73213",+380 (48) 889-44-84,qartemenko@example.net
Голобородько,Климент,Григорович,Чоловіча,2004-04-10,Шериф,місто Васильків,"узвіз Сьома, буд. 560 кв. 5, Макіївка, 32726",+380 38 537 76 50,varvarazhaivoron@example.net
Царенко,Володимира,Олегівна,Жіноча,1993-07-25,Драматург,село Роздільна,"провулок Висока, буд. 4, Стрий, 01660",069 582-92-89,bohuslav47@example.org
Карась,Франц,Дмитрович,Чоловіча,1988-02-25,Антрополог,село Приморськ (Україна),"сквер Локомотивний 1-й, буд. 5 кв. 4, Алчевськ, 59277",+380 01 416-43-53,nzaporozhets@example.net
Конопля,Амалія,Петрівна,Жіноча,1975-08-01,Головний меркшейдер,хутір Козятин,"сквер Морська, буд. 9, Святогірськ, 12815",433 80 90,havryshkevychokseniia@example.org
Дацюк,Марко,Юрійович,Чоловіча,1950-08-01,Машиніст,село Ніжин,"узвіз Віцеадмірала Азарова, буд. 91, Кролевець, 48781",+380 42 463 88 49,nazarenkonestor@example.net
Сомко,Захар,Васильович,Чоловіча,2005-11-29,Менеджер,село Глухів,"провулок 411-ї батареї, буд. 0, Олешки, 31738",677-29-70,zaietsleontii@example.net
Євтушок,Алевтин,Васильович,Чоловіча,2008-08-13,Адвокат,місто Хирів,"проспект Авангардна, буд. 470 кв. 009, Бунге , 20122",569 94 25,avakarchuk@example.org
Доценко,Софія,Валентинівна,Жіноча,1996-11-08,Слідчий,селище Миколаїв,"сквер Василя Кандинського, буд. 009, Перещепине, 58295",+380 77 893-86-01,marko25@example.com
Шухевич,Михайло,Борисович,Чоловіча,1971-09-09,Архітектор,селище Калинівка ,"сквер Саксаганського, буд. 281 кв. 3, Лубни, 30740",+380 93 106-07-88,revakamilla@example.org
Пʼятаченко,Олена,Борисівна,Жіноча,1996-08-20,Епідеміолог,селище Полонне,"проспект Марата 1-й, буд. 668, Дніпрорудне, 04056",057 605-81-41,vdovenkovarfolomii@example.org
Симоненко,Амалія,Євгенівна,Жіноча,1974-11-17,Редактор,селище Славута,"набережна Гастелло, буд. 2, П'ятихатки, 06716",096 959-02-08,irynazabashta@example.org
Литвиненко,Григорій,Юрійович,Чоловіча,1969-03-21,Історик,селище Жовква,"проспект Нова, буд. 528 кв. 93, Попасна, 11523",+380 35 727 76 06,liliia15@example.com
Гресь,Володимир,Іванович,Чоловіча,1965-07-28,Фізик,хутір Енергодар,"сквер Молокова, буд. 8 кв. 920, Кременчук, 12732",+380 96 587-07-02,mgalagan@example.org
Симоненко,Альберт,Володимирович,Чоловіча,1965-05-10,Агроном,село Остер ,"шосе Центральний аеропорт, буд. 97, Ходорів, 97308",056 061-42-32,dzyndranestor@example.com
Мамчур,Григорій,Миколайович,Чоловіча,1940-05-06,Мірошник,хутір Болград,"вулиця Сміливий, буд. 73 кв. 047, Хорол , 29774",+380 64 044-66-00,kamilla10@example.net
Талан,Семен,Віталійович,Чоловіча,1954-07-15,Перекладач,місто Родинське,"парк Слов'янська, буд. 87 кв. 1, Сорокине, 57808",+380 55 326-45-51,bohdanna96@example.com
Сірченко,Роман,Богданович,Чоловіча,1995-06-14,Клоун,місто Бобринець,"проспект Чехова, буд. 06, Сокаль, 74272",+380 40 728-27-61,davydzakharchenko@example.com
Єресько,Трохим,Олегович,Чоловіча,2001-03-04,Кінорежисер,хутір Острог,"набережна Гладкова, буд. 66, Берегове, 44233",+380 08 503 16 41,dbhydenko@example.org
Ейбоженко,Станіслав,Євгенович,Чоловіча,1993-04-10,Стропальник,село Тиврів,"парк Тінистий, буд. 4 кв. 50, Вільнянськ, 52082",+380 (16) 021-97-58,batihzakhar@example.net
Оберемко,Ганна,Володимирівна,Жіноча,1956-07-23,Письменник,селище Гайсин,"площа Чорноморський 2-й, буд. 32, Миронівка, 89925",+380 41 102-02-87,eiermolenko@example.net
Чубай,Данна,Михайлівна,Жіноча,1938-12-19,Ювелір,село Васильків,"парк Купріна, буд. 47 кв. 9, Тетіїв, 20362",+380 12 206-48-78,bandurkatrokhym@example.org
Ємельяненко,Мирон,Васильович,Чоловіча,1984-08-29,Стиліст,місто Привілля,"набережна Туристська, буд. 5 кв. 815, Зугрес, 17705",464-24-36,varvara75@example.org
Яремко,Августин,Валентинович,Чоловіча,1952-06-16,Бухгалтер,село Турка,"провулок Архітектурна, буд. 60, Погребище, 60462",047-64-48,dbandura@example.org
Худобʼяк,Юстим,Юрійович,Чоловіча,1968-05-12,Гінеколог,місто Першотравенськ,"площа Шостої 1-й, буд. 5, Балта, 24352",+380 85 275-24-16,fedir02@example.net
Бебешко,Спас,Віталійович,Чоловіча,2003-12-31,Кінолог,місто Славутич,"площа Академіка Вавилова, буд. 416, Лубни, 18017",265-42-38,larysakaras@example.com
Гайда,Геннадій,Сергійович,Чоловіча,2006-12-23,Фізик,місто Старокостянтинів,"сквер Псковська, буд. 055 кв. 33, Красноперекопськ, 04941",057 926-01-84,hordii31@example.com
Рубан,Аліна,Петрівна,Жіноча,1987-07-02,Флорист,село Суходільськ,"проспект Наливна, буд. 645, Калинівка , 59494",633-93-12,lukianlubenets@example.net
Твердохліб,Мирослав,Олександрович,Чоловіча,1957-06-04,Локсмайстер,хутір Тростянець,"провулок Тульська, буд. 454 кв. 50, Чортків, 77789",063 937 32 44,babychheorhii@example.net
Орлик,Альбіна,Олександрівна,Жіноча,1968-01-13,Редактор,селище Армянськ,"набережна Ключовий 1-й, буд. 7 кв. 89, Ялта, 25557",157-16-21,vzhuk@example.com
Михайличенко,Роксолана,Володимирівна,Жіноча,1986-08-02,Юрист,місто Ровеньки,"набережна Писарева, буд. 110 кв. 5, Калуш, 68317",054 644 55 80,viktor89@example.com
Кальченко,Геннадій,Федорович,Чоловіча,1998-12-05,Гицель,селище Шпола,"площа Омська, буд. 714 кв. 09, Амвросіївка, 69523",131-81-48,somkomariana@example.com
Франчук,Геннадій,Олександрович,Чоловіча,1955-07-13,Кінорежисер,село Олександрівськ,"площа Змієнка Всеволода, буд. 746, Красноград, 75534",004-98-82,pieshchenko@example.com
Усик,Ганна,Миколаївна,Жіноча,1977-09-22,Електрик,селище Новодружеськ,"проспект Лютеранський, буд. 8, Федорівка, 65998",+380 91 432-46-00,ivashchenkoiefrem@example.org
Ґжицький,Юстим,Олегович,Чоловіча,1977-12-12,Графік,хутір Яворів,"набережна Скидановська, буд. 9 кв. 71, Кропивницький, 82936",064 134-45-16,kyrylokorbut@example.net
Теліженко,Нестор,Романович,Чоловіча,1939-12-04,Клавішник,село Первомайський ,"парк Аптекарський, буд. 56 кв. 112, Бар, 34537",+380 43 368-73-80,akymenkoleontii@example.net
Базилевська,Любов,Юріївна,Жіноча,1985-10-23,Інженер,місто Новий Буг,"площа Керченський 3-й, буд. 066 кв. 6, Свалява, 72319",+380 05 517 96 55,gtverdokhlib@example.net
Титаренко,Світлана,Сергіївна,Жіноча,1976-01-03,Кінорежисер,село Червоносів,"парк Канатний, буд. 2 кв. 61, Баранівка, 58597",040 678-05-54,ykaras@example.org
Дробаха,Ганна,Сергіївна,Жіноча,1986-07-07,Доцент,селище Новоград-Волинський,"вулиця Хвойний, буд. 2 кв. 151, Покровськ, 54384",+380 79 358 86 17,tetianabaturynets@example.net
Адамчук,Аарон,Володимирович,Чоловіча,1940-08-10,Фотограф,місто Перещепине,"провулок 19-та Лінія, буд. 73 кв. 867, Бунге , 10421",082 847-69-39,akarpenko@example.com
Деревʼянко,Дарина,Сергіївна,Жіноча,1949-11-13,Ботанік,місто Карлівка,"проспект Артилерійський 2-й, буд. 022, Кременець, 95072",+380 05 220 52 12,azasukha@example.net
Аверченко,Емілія,Романівна,Жіноча,1987-02-15,Агроном,місто Вараш,"шосе Фестивальний, буд. 6, Богодухів, 73421",+380 (93) 657-78-45,talanzlatoslava@example.org
Гузенко,Георгій,Григорович,Чоловіча,1971-03-03,Сценарист,місто Іршава,"провулок Гагарінське плато, буд. 720, Благовіщенське, 98700",644 50 22,avhustynavramenko@example.net
Слюсар,Гордій,Олегович,Чоловіча,1994-04-07,Краєзнавець,село Сорокине,"вулиця Авангардна, буд. 4, Золотоноша, 03545",544-64-19,mtsybulenko@example.net
Гресь,Ірина,Андріївна,Жіноча,1950-06-30,Електрослюсар,місто Зіньків,"проспект Косяченка Олексія, буд. 73 кв. 4, Гайворон, 81140",030 972-87-15,bsirchenko@example.com
Їжак,Софія,Євгенівна,Жіноча,1967-02-17,Ґрунтознавець,селище Судак ,"парк Ювілейний 1-й, буд. 47 кв. 2, Стебник, 65280",249 57 41,stepanpalii@example.org
Ємельяненко,Орися,Романівна,Жіноча,1941-02-23,Стоматолог,село Новоград-Волинський,"сквер М’ясоєдовська, буд. 779 кв. 36, Великі Мости, 70442",+380 49 666-31-81,anzhelakorbut@example.net
Деркач,Давид,Андрійович,Чоловіча,1978-03-12,Етнограф,село Вуглегірськ,"парк Жоліо-Кюрі, буд. 2 кв. 465, Дебальцеве, 54564",+380 08 476 78 67,stetsruslan@example.org
Бгиденко,Михайлина,Дмитрівна,Жіноча,1957-03-04,Електромонтажник,місто Ананьїв,"площа Віри Інбер, буд. 47, Ромни, 13967",078 762-27-18,iaremchuksvitlana@example.org
Штокало,Марта,Євгенівна,Жіноча,1950-03-29,Електромонтажник,місто Родинське,"провулок Дворянська, буд. 32, Калуш, 27589",+380 17 397 57 82,sychveniiamyn@example.com
Христич,Златослава,Василівна,Жіноча,1967-05-08,Дизайнер,село Полонне,"провулок Пересипська 10-та, буд. 0 кв. 098, Шпола, 60926",141-06-13,ieva88@example.com
Бандура,Оксана,Іванівна,Жіноча,1989-12-02,Біолог,село Городище ,"парк Строганова, буд. 46 кв. 271, Теребовля, 02496",079 67 53,yprymachenko@example.com
Артим,Емілія,Борисівна,Жіноча,1967-12-30,Продюсер,селище Кам'янське,"шосе Трудова, буд. 82 кв. 8, Дніпрорудне, 10616",+380 94 551-17-03,yzhaivoron@example.com
Олійник,Вікторія,Олегівна,Жіноча,1999-06-19,Бібліотекар,селище Балаклія,"площа Набережна, буд. 42 кв. 1, Зимогір'я, 23436",082 088 09 78,frants07@example.com
Акуленко,Георгій,Богданович,Чоловіча,1980-11-28,Графік,хутір Покровськ,"сквер Пілотна, буд. 8, Краматорськ, 39950",+380 66 932 20 59,derhachdemyd@example.com
Вдовиченко,Леопольд,Сергійович,Чоловіча,1971-03-12,Астрофізик,місто Жмеринка,"набережна Спартаківська, буд. 87, Тараща, 74919",+380 (31) 835-81-72,nosachenkoboleslav@example.org
Калениченко,Дан,Миколайович,Чоловіча,1991-07-23,Математик,місто Устилуг,"шосе Мацієвської узвіз, буд. 913, Баштанка, 82425",697-46-21,iustymgzhytska@example.org
Кащенко,Соломія,Михайлівна,Жіноча,1976-05-27,Патологоанатом,селище Щолкіне,"провулок Лермонтовський 2-й, буд. 815, Люботин, 64474",020 614 85 04,prytulastanislav@example.com
Ємельяненко,Микита,Борисович,Чоловіча,1953-07-11,М'ясник,селище Скалат,"сквер Лінія 46-та, буд. 007 кв. 767, Джанкой, 91006",+380 56 324-07-52,oleh65@example.net
Єрмоленко,Ярослава,Борисівна,Жіноча,1975-09-23,Кур'єр,селище Зіньків,"проспект Старопортофранківська, буд. 480, Бахмач, 33587",078 288 23 05,ielysavetashyian@example.net
Хоменко,Азар,Юрійович,Чоловіча,1946-08-19,Петрограф,селище Василівка ,"площа Ключовий 1-й, буд. 488 кв. 2, Буринь, 05536",293 96 04,marianalavrenko@example.org
Яременко,Віра,Володимирівна,Жіноча,1989-10-11,Модель,село Рівне,"сквер Київське, буд. 5, Збараж, 09751",+380 (66) 082-82-18,iustymdakhno@example.net
Баран,Георгій,Іванович,Чоловіча,1991-03-02,Фольклорист,село Барвінкове,"проспект Тульська, буд. 9, Жмеринка, 03748",564-00-78,ivasiukihnat@example.net
Давиденко,Юстим,Романович,Чоловіча,1982-05-13,Палеонтолог,селище Дружківка,"проспект Пляжна, буд. 8, Вовчанськ, 97851",+380 95 408 53 74,valenkopavlo@example.org
Андрійчук,Аврелій,Петрович,Чоловіча,1986-10-02,Хореограф,хутір Болехів,"узвіз 11-та Лінія Марії Демченко, буд. 340, Боярка, 67172",096 093-65-97,priskalesyk@example.net
Артим,Орест,Євгенович,Чоловіча,1988-04-15,Слідчий,хутір Курахове,"шосе Красна, буд. 828 кв. 7, Дубно, 29629",077 233-31-65,uandreiko@example.net
Охримович,Симон,Іванович,Чоловіча,1977-04-06,Фармацевт,селище Тернопіль,"провулок Москвіна, буд. 8 кв. 9, Івано-Франківськ, 60654",+380 17 130 19 26,azar96@example.org
Яковенко,Святослава,Сергіївна,Жіноча,1986-11-02,Гірник,місто Сіверськ,"узвіз Коцюбинського, буд. 495 кв. 462, Конотоп, 80695",750-21-94,sviatoslavaholoborodko@example.org
Доценко,Костянтин,Віталійович,Чоловіча,1957-01-17,Журналіст,місто Золочів,"сквер Дальній, буд. 0 кв. 314, Волноваха, 97762",+380 (85) 185-04-13,iukhym47@example.org
Дробаха,Варвара,Федорівна,Жіноча,1992-03-20,Астрофізик,селище Яготин,"узвіз П'ята, буд. 90 кв. 52, Тиврів, 43298",+380 15 689-96-77,vtryhub@example.com
Токар,Мартин,Григорович,Чоловіча,1975-11-27,Ріелтор,село Мала Виска,"площа Петрашевського, буд. 30 кв. 71, Дніпро , 74122",074 249 24 74,zmishchenko@example.com
Безбородько,Петро,Борисович,Чоловіча,1940-07-20,Сантехнік,село Виноградів,"площа Пересипський міст, буд. 56, Радомишль, 76045",+380 53 497 94 71,shcherbanroman@example.org
Гавришкевич,Андрій,Богданович,Чоловіча,1952-04-02,Доцент,місто Привілля,"площа Котляревського, буд. 453, Кальміуське, 22869",007 466 24 33,avrelii32@example.org
Аврамчук,Гордій,Сергійович,Чоловіча,1964-11-28,Локсмайстер,хутір Яворів,"вулиця Троїцька, буд. 4, Кам'янське, 24117",+380 (00) 336-17-92,amaliia72@example.org
Євтушенко,Любов,Юріївна,Жіноча,1989-02-05,Клоун,хутір Путивль,"площа Рішельєвська, буд. 8 кв. 83, Тернівка , 83051",+380 20 291 03 56,stelmakhnazar@example.net
Ґерус,Аркадій,Богданович,Чоловіча,1988-03-20,Журналіст,селище Свалява,"парк Миколи Гефта, буд. 1 кв. 01, Ходорів, 12757",889 14 66,bohdanna93@example.net
Ємець,Амвросій,Валентинович,Чоловіча,1996-06-30,Модель,село Шпола,"сквер Маріїнська, буд. 9 кв. 365, Рубіжне, 11674",069 627 29 95,ievtushokroman@example.org
Єсипенко,Зиновій,Віталійович,Чоловіча,1999-06-13,Бізнесмен,село Вашківці,"узвіз Дворянська, буд. 9 кв. 8, Стрий, 41580",+380 (11) 322-59-86,oleksa30@example.com
Ткаченко,Ада,Петрівна,Жіноча,1940-10-05,Геофізик,хутір Волноваха,"сквер Зелена, буд. 55 кв. 468, Переяслав, 75050",716-07-37,irena16@example.com
Чалий,Максим,Андрійович,Чоловіча,1987-12-15,Філолог,хутір Мирноград,"провулок Вокзальна, буд. 500 кв. 81, Погребище, 70809",591 30 69,durdynetsavrelii@example.net
Жаліло,Аліна,Романівна,Жіноча,2008-08-06,Машиніст,селище Жовті Води,"шосе Бреуса, буд. 7, Прилуки, 85642",081 261-05-85,voblyimykhailyna@example.com
Бараник,Марко,Володимирович,Чоловіча,1941-04-17,Машиніст,село Макіївка,"площа Юхима Фесенка, буд. 787 кв. 486, Вуглегірськ, 62285",072 378 96 25,udrozd@example.org
Ткач,Венедикт,Іванович,Чоловіча,1991-10-04,Адвокат,селище Рубіжне,"парк Студентський 4-й, буд. 1 кв. 62, Борислав, 37103",047 360 10 33,iustynamoskal@example.net
Заруба,Валерій,Валентинович,Чоловіча,1996-01-24,Актор,село Приморськ (Україна),"провулок Овідіопольська, буд. 6 кв. 5, Красноперекопськ, 90891",076 213-69-88,yfranchuk@example.org
Кащенко,Федір,Валентинович,Чоловіча,1943-04-07,Математик,місто Тячів,"шосе Марата 1-й, буд. 6, Скадовськ, 74866",+380 77 960 44 57,iurchyshynboryslav@example.org
Полтавець,Марта,Юріївна,Жіноча,1954-02-23,Скульптор,село Підгородне,"шосе Левітана, буд. 3, Золочів, 59336",443 95 32,okhrymovychiryna@example.org
Теліженко,Йосип,Євгенович,Чоловіча,1955-07-02,Фотограф,хутір Монастирище,"проспект Восьмого березня 8-й, буд. 1 кв. 84, Кам'янець-Подільський, 48612",+380 87 914-19-27,iatseniukarkadii@example.org
Лупій,Онисим,Миколайович,Чоловіча,1973-08-24,Державний службовець,хутір Малин,"проспект Вокзальний, буд. 62 кв. 61, Дніпрорудне, 58948",+380 72 309-93-70,ostapmykhailychenko@example.org
Негода,Ліза,Дмитрівна,Жіноча,1945-07-31,Електромонтер,місто Кагарлик,"набережна Нова, буд. 887, Шпола, 94562",+380 45 634 47 01,valekseienko@example.com
Перебийніс,Мирослав,Володимирович,Чоловіча,1956-04-08,Різноробочий,селище Ланівці,"проспект Текстильників, буд. 6, Немирів, 78859",+380 70 397-58-44,tymofii79@example.org
Верменич,Валерій,Петрович,Чоловіча,1971-12-04,Сантехнік,хутір Буча,"парк Уютна, буд. 1 кв. 8, Джанкой, 60705",+380 24 070-52-13,odarka60@example.com
Мамчур,Марко,Андрійович,Чоловіча,1999-06-23,Водій,місто Чистякове,"узвіз Бузкова, буд. 7 кв. 5, Валки , 10130",+380 12 878-00-86,nataliia81@example.org
Давиденко,Давид,Сергійович,Чоловіча,2006-03-12,Реставратор,місто Кальміуське,"сквер Миколаївський 1-й, буд. 9 кв. 99, Білицьке, 46436",+380 (81) 621-29-12,bfilipenko@example.com
Бевз,Камілла,Олегівна,Жіноча,1970-08-01,Продюсер,село Івано-Франківськ,"парк Ліверпульський, буд. 2 кв. 063, Валки , 69822",084 271 45 06,verkhovynetsbohodar@example.com
Примаченко,Юстим,Федорович,Чоловіча,2004-08-24,Композитор,місто Корсунь-Шевченківський,"узвіз Кримська, буд. 1 кв. 47, Жовква, 96027",+380 92 447-64-16,dkhrystych@example.net
Христич,Надія,Романівна,Жіноча,1951-06-27,Пекар,селище Кальміуське,"узвіз Павлова, буд. 4 кв. 5, Новомиргород, 24007",689 26 45,albertiaremenko@example.net
Яремко,Тереза,Федорівна,Жіноча,2004-01-09,Адвокат,селище Герца,"площа Флотський 2-й, буд. 3 кв. 8, Чоп, 33680",+380 08 713-52-87,okseniia04@example.net
Малик,Олег,Миколайович,Чоловіча,2004-05-15,Правник,село Тлумач,"узвіз Героїв Небесної Сотні, буд. 2, Сорокине, 58367",850-73-43,ftychyna@example.org
Яценюк,Теодор,Федорович,Чоловіча,1970-02-13,Акушер,селище Олександрівськ,"набережна Проектна 2-га, буд. 17, Погребище, 27138",181 37 54,orkhyp72@example.net
Давимука,Роксолана,Петрівна,Жіноча,1946-02-04,Астронавт,місто Здолбунів,"шосе Черепанових 2-й, буд. 891 кв. 21, Борщів, 09824",+380 07 127 95 53,olhaartymovych@example.net
Бабій,Геннадій,Петрович,Чоловіча,1944-06-18,Золотар,хутір Горохів,"провулок Приморський, буд. 49 кв. 635, Кривий Ріг, 56232",081 399 61 11,yshamrai@example.com
Олійник,Данило,Миколайович,Чоловіча,1979-12-29,Євнух,селище Голубівка,"узвіз Каманіна, буд. 11, Львів, 20595",083 344 33 14,marko80@example.net
Власенко,Мартин,Віталійович,Чоловіча,2000-07-06,Літературознавець,хутір Збараж,"парк Різницький, буд. 23, Київ, 17354",+380 57 021-87-50,rkyrylenko@example.com
Перебийніс,Орина,Богданівна,Жіноча,1949-04-05,Антрополог,місто Немирів,"парк Ямчитського, буд. 0, Попасна, 97948",+380 95 493-58-09,avdieienkoiukhym@example.org
Штокало,Ігнат,Валентинович,Чоловіча,2005-04-28,Бібліотекар,місто Перечин,"проспект Хаджибейський 1-й, буд. 753, Хотин, 91204",716-41-52,bandriiovych@example.org
Гайдамака,Єва,Євгенівна,Жіноча,1986-09-05,Зоолог,село Монастирище,"сквер Осипова, буд. 1, Кипуче, 23940",+380 04 439-77-60,zlatoslava43@example.com
Височан,Варвара,Олександрівна,Жіноча,1997-12-08,Графік,хутір Інкерман,"шосе Мічманський 2-й, буд. 632, Роздільна, 55937",051 705-95-03,ashelest@example.net
Парасюк,Руслан,Іванович,Чоловіча,1969-04-29,Мікробіолог,хутір Камінь-Каширський,"парк Сабанєєв, буд. 9 кв. 66, Карлівка, 57624",816 15 14,ssamoilenko@example.org
Бандера,Наталія,Андріївна,Жіноча,1990-05-15,Мінералог,селище Гола Пристань,"провулок Трамвайний, буд. 7, Ківерці, 10644",037 326 27 07,gzhaivoron@example.net
Канівець,Орест,Іванович,Чоловіча,1992-03-10,Пілот,хутір Самбір,"сквер Лип Івана та Юрія, буд. 6, Корсунь-Шевченківський, 74861",+380 (09) 128-32-79,iaremkoorysia@example.com
Дуплій,Богуслава,Миколаївна,Жіноча,1975-09-13,Намотувальник,хутір Василівка ,"провулок Степана Разіна, буд. 2 кв. 80, Белз, 57319",+380 24 149-57-43,orobetsvioletta@example.net
Дубас,Охрім,Андрійович,Чоловіча,2000-12-17,Паблік рилейшнз,селище Бердянськ,"площа Омська, буд. 13, Тульчин, 09583",+380 (22) 491-60-02,filipenkoiryna@example.net
Батіг,Борислав,Борисович,Чоловіча,1980-08-26,Ювелір,місто Кальміуське,"площа 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 8 кв. 31, Костянтинівка, 79089",+380 61 416-14-48,klavdiia05@example.net
Жарко,Ольга,Василівна,Жіноча,2006-11-29,Швачка,хутір Моспине,"площа Долинська, буд. 5, Кілія, 87298",144-52-36,adam91@example.org
Гунько,Аврелій,Миколайович,Чоловіча,2006-12-15,Соціолог,місто Алчевськ,"шосе Учительський, буд. 5 кв. 3, Сулимівка (Слов'янськ), 26132",+380 (41) 652-74-55,teodordzhus@example.net
Яценюк,Єлисавета,Віталіївна,Жіноча,1947-07-03,Кухар,селище Ясинувата,"площа Комітетська, буд. 2 кв. 0, Хмільник, 16561",+380 59 852-18-54,semen57@example.com
Яценко,Леопольд,Віталійович,Чоловіча,1951-03-21,Гінеколог,місто Коломия,"набережна Світлий, буд. 916, Стрий, 51628",435 41 36,nsuprunenko@example.net
Євдокименко,Панас,Михайлович,Чоловіча,1941-02-08,Композитор,місто Кам'янське,"сквер Ушинського, буд. 4, Київ, 79423",+380 (58) 964-47-92,saliianita@example.org
Гайдабура,Віра,Петрівна,Жіноча,1951-08-24,Сантехнік,селище Славутич,"сквер Старопортофранківська, буд. 250, Армянськ, 27931",460 50 05,valentynhrechanyk@example.net
Іщак,Соломія,Євгенівна,Жіноча,1956-12-16,Акушер,селище Нова Одеса,"сквер Харківська, буд. 2 кв. 456, Гірник , 63270",083 463 93 99,colifirenko@example.net
Михайлюк,Данна,Олегівна,Жіноча,1940-03-15,Локсмайстер,місто Кремінна,"шосе Пересипський міст, буд. 576 кв. 463, Коростишів, 43503",+380 56 504-84-39,chuprynavolodymyra@example.com
Гайдай,Олекса,Андрійович,Чоловіча,2006-02-03,Флорист,селище Городня,"набережна Андреєвського, буд. 9 кв. 3, Южноукраїнськ, 74357",085 699 29 63,gskoryk@example.net
Артюшенко,Златослава,Андріївна,Жіноча,1971-07-13,Електрослюсар,хутір Кіцмань,"парк Пестеля, буд. 31 кв. 90, Подільськ, 35407",+380 55 769-81-13,demianchukpylyp@example.com
Ящук,Леонтій,Богданович,Чоловіча,1961-09-04,Фрілансер,село Тальне,"набережна Черкаська, буд. 43 кв. 828, Костопіль, 99906",065 986 62 86,brebryk@example.org
Тимчук,Богуслав,Борисович,Чоловіча,1968-12-01,Бібліотекар,селище Свалява,"набережна Корнюшина, буд. 07, Калуш, 54354",+380 (36) 583-49-56,marynademianiuk@example.org
Засенко,Леон,Іванович,Чоловіча,1967-11-15,Географ,місто Моспине,"сквер Наявний 1-й, буд. 1, Горішні Плавні, 04477",+380 63 461-37-41,abramenkoborys@example.net
Павличенко,Миколай,Федорович,Чоловіча,1992-08-22,Зоолог,хутір Каховка,"провулок Гагаріна, буд. 721 кв. 3, Глобине, 69692",058 761-45-31,albinaievdokymenko@example.org
Ґалаґан,Надія,Григорівна,Жіноча,1992-01-04,Сантехнік,хутір Зеленодольськ,"парк 19-та Лінія, буд. 80 кв. 88, Волноваха, 05522",167-41-18,odarka21@example.net
Бабій,Софія,Федорівна,Жіноча,1968-12-11,Прокурор,місто Радехів,"сквер Глазунова 2-й, буд. 696, Знам'янка, 45862",+380 (07) 324-01-43,trokhymriaboshapka@example.com
Матяш,Дарина,Дмитрівна,Жіноча,1994-07-29,Фармацевт,селище Синельникове,"шосе Ясна, буд. 62 кв. 9, Канів, 90470",+380 77 759-21-50,umanetsiakiv@example.com
Терещук,Пріска,Романівна,Жіноча,1965-11-16,Бібліограф,хутір Канів,"вулиця Софії Перовської, буд. 128 кв. 606, Шостка, 23659",+380 34 355-17-52,okhrim90@example.net
Гук,Валентин,Дмитрович,Чоловіча,1978-12-28,Різноробочий,місто Любомль,"площа Сінна, буд. 8, Лутугине, 75481",080 472 62 11,nlukash@example.net
Лисенко,Наталія,Романівна,Жіноча,1970-02-20,Клавішник,село Нетішин,"вулиця Прохоровський, буд. 481, Світловодськ, 94142",+380 01 233-59-24,arkhypenkovasylyna@example.com
Михайлюк,Анастасія,Богданівна,Жіноча,1979-05-17,Пілот,місто Олександрія,"сквер Хаджибейська дорога, буд. 947 кв. 280, Берегове, 62674",+380 76 462-87-04,zynovii98@example.net
Кармалюк,Богодар,Сергійович,Чоловіча,1946-11-11,Журналіст,село Городенка,"узвіз Дорбуду, буд. 51, Бережани, 07162",032 827 89 09,hlibtiahnybok@example.net
Литвиненко,Софія,Іванівна,Жіноча,1985-07-07,Ювелір,село Березне,"шосе Шкіперська, буд. 34 кв. 399, Остер , 88779",387-57-80,yderevianko@example.org
Чуйко,Ірена,Василівна,Жіноча,1954-04-29,Петрограф,місто Судова Вишня,"парк Міцкевича, буд. 017 кв. 89, Березне, 43669",+380 (78) 777-72-74,tryhubbohodar@example.com
Гупало,Богдан,Петрович,Чоловіча,1967-05-20,Професор,селище Чернівці,"площа Стеценко, буд. 4 кв. 837, Молодогвардійськ, 65732",+380 41 549 83 28,vertyporokhada@example.com
